NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0016028 RHABDOMERE	GO:0016028 RHABDOMERE		30	-0.6873441	-2.5109148	0.0	0.0	0.0	527	tags=57%, list=10%, signal=63%	
GO:0007602 PHOTOTRANSDUCTION	GO:0007602 PHOTOTRANSDUCTION		32	-0.63119406	-2.358584	0.0	8.738448E-4	0.002	753	tags=53%, list=14%, signal=62%	
GO:0005777 PEROXISOME	GO:0005777 PEROXISOME		52	-0.5249001	-2.2191615	0.0	0.0030863765	0.011	786	tags=48%, list=15%, signal=56%	
GO:0006635 FATTY ACID BETA-OXIDATION	GO:0006635 FATTY ACID BETA-OXIDATION		24	-0.6218265	-2.1228144	0.0	0.0065401373	0.031	754	tags=63%, list=14%, signal=73%	
GO:0022626 CYTOSOLIC RIBOSOME	GO:0022626 CYTOSOLIC RIBOSOME		73	-0.46855342	-2.0426857	0.0	0.012315894	0.069	1509	tags=56%, list=29%, signal=78%	
GO:0005615 EXTRACELLULAR SPACE	GO:0005615 EXTRACELLULAR SPACE		154	-0.40244892	-2.0388937	0.0	0.010531806	0.071	1150	tags=40%, list=22%, signal=50%	
GO:0005918 SEPTATE JUNCTION	GO:0005918 SEPTATE JUNCTION		19	-0.62363064	-1.9797621	0.0	0.016109034	0.122	1063	tags=63%, list=20%, signal=79%	
GO:0005576 EXTRACELLULAR REGION	GO:0005576 EXTRACELLULAR REGION		96	-0.42577696	-1.94515	0.0	0.019302433	0.166	1043	tags=39%, list=20%, signal=47%	
GO:0022625 CYTOSOLIC LARGE RIBOSOMAL SUBUNIT	GO:0022625 CYTOSOLIC LARGE RIBOSOMAL SUBUNIT		47	-0.48292825	-1.9258246	0.0	0.021211829	0.202	1426	tags=57%, list=27%, signal=78%	
GO:0002181 CYTOPLASMIC TRANSLATION	GO:0002181 CYTOPLASMIC TRANSLATION		82	-0.4221169	-1.8888115	0.0	0.027089655	0.275	1509	tags=55%, list=29%, signal=76%	
GO:0015629 ACTIN CYTOSKELETON	GO:0015629 ACTIN CYTOSKELETON		30	-0.51848525	-1.8717085	0.0	0.029311962	0.318	1097	tags=50%, list=21%, signal=63%	
GO:0031012 EXTRACELLULAR MATRIX	GO:0031012 EXTRACELLULAR MATRIX		37	-0.49495107	-1.8444195	0.0	0.03439324	0.395	747	tags=35%, list=14%, signal=41%	
GO:0005762 MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT	GO:0005762 MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT		44	-0.46353292	-1.8379515	0.0	0.033677418	0.413	623	tags=25%, list=12%, signal=28%	
GO:0062129 CHITIN-BASED EXTRACELLULAR MATRIX	GO:0062129 CHITIN-BASED EXTRACELLULAR MATRIX		18	-0.57409817	-1.807788	0.0050125313	0.03984888	0.484	1246	tags=50%, list=24%, signal=65%	
GO:0042052 RHABDOMERE DEVELOPMENT	GO:0042052 RHABDOMERE DEVELOPMENT		29	-0.4816062	-1.7601091	0.008	0.056250878	0.628	527	tags=34%, list=10%, signal=38%	
GO:0005912 ADHERENS JUNCTION	GO:0005912 ADHERENS JUNCTION		27	-0.50165224	-1.7411745	0.0026455026	0.060745552	0.685	369	tags=30%, list=7%, signal=32%	
GO:0019991 SEPTATE JUNCTION ASSEMBLY	GO:0019991 SEPTATE JUNCTION ASSEMBLY		24	-0.5071823	-1.7284076	0.007575758	0.062387276	0.72	1063	tags=42%, list=20%, signal=52%	
GO:0020037 HEME BINDING	GO:0020037 HEME BINDING		52	-0.41474214	-1.7280142	0.0028169013	0.059242766	0.723	922	tags=37%, list=17%, signal=44%	
GO:0050660 FLAVIN ADENINE DINUCLEOTIDE BINDING	GO:0050660 FLAVIN ADENINE DINUCLEOTIDE BINDING		27	-0.47820756	-1.6931481	0.010695187	0.072863586	0.813	553	tags=33%, list=10%, signal=37%	
GO:0012505 ENDOMEMBRANE SYSTEM	GO:0012505 ENDOMEMBRANE SYSTEM		171	-0.3322636	-1.6789777	0.0	0.077437505	0.851	1440	tags=39%, list=27%, signal=51%	
GO:0005509 CALCIUM ION BINDING	GO:0005509 CALCIUM ION BINDING		125	-0.34411377	-1.6750149	0.0	0.07567858	0.854	1271	tags=40%, list=24%, signal=51%	
GO:0030433 UBIQUITIN-DEPENDENT ERAD PATHWAY	GO:0030433 UBIQUITIN-DEPENDENT ERAD PATHWAY		23	-0.4876915	-1.6664497	0.007633588	0.07724805	0.872	1314	tags=48%, list=25%, signal=63%	
GO:0030176 INTEGRAL COMPONENT OF ENDOPLASMIC RETICULUM MEMBRANE	GO:0030176 INTEGRAL COMPONENT OF ENDOPLASMIC RETICULUM MEMBRANE		25	-0.47737506	-1.6550308	0.013089005	0.07961361	0.893	978	tags=40%, list=19%, signal=49%	
GO:0005506 IRON ION BINDING	GO:0005506 IRON ION BINDING		51	-0.4075567	-1.6546664	0.0	0.076470345	0.894	922	tags=35%, list=17%, signal=42%	
GO:0016328 LATERAL PLASMA MEMBRANE	GO:0016328 LATERAL PLASMA MEMBRANE		17	-0.52061933	-1.6526809	0.019559903	0.07472459	0.9	1061	tags=53%, list=20%, signal=66%	
GO:0022857 TRANSMEMBRANE TRANSPORTER ACTIVITY	GO:0022857 TRANSMEMBRANE TRANSPORTER ACTIVITY		43	-0.4147022	-1.6395549	0.011594203	0.079004295	0.919	909	tags=30%, list=17%, signal=36%	
GO:0006633 FATTY ACID BIOSYNTHETIC PROCESS	GO:0006633 FATTY ACID BIOSYNTHETIC PROCESS		17	-0.52583724	-1.599398	0.037128713	0.10181621	0.963	864	tags=47%, list=16%, signal=56%	
GO:0016705 OXIDOREDUCTASE ACTIVITY, ACTING ON PAIRED DONORS, WITH INCORPORATION OR REDUCTION OF MOLECULAR OXYGEN	GO:0016705 OXIDOREDUCTASE ACTIVITY, ACTING ON PAIRED DONORS, WITH INCORPORATION OR REDUCTION OF MOLECULAR OXYGEN		29	-0.444423	-1.5911022	0.016438356	0.10377592	0.967	922	tags=38%, list=17%, signal=46%	
GO:0050832 DEFENSE RESPONSE TO FUNGUS	GO:0050832 DEFENSE RESPONSE TO FUNGUS		20	-0.48800743	-1.5881234	0.028423773	0.10186297	0.968	548	tags=35%, list=10%, signal=39%	
GO:0003735 STRUCTURAL CONSTITUENT OF RIBOSOME	GO:0003735 STRUCTURAL CONSTITUENT OF RIBOSOME		148	-0.3144484	-1.5678525	0.0	0.11215628	0.977	1430	tags=40%, list=27%, signal=53%	
GO:0008061 CHITIN BINDING	GO:0008061 CHITIN BINDING		17	-0.50411797	-1.5623646	0.03076923	0.11218452	0.981	980	tags=35%, list=19%, signal=43%	
GO:0016491 OXIDOREDUCTASE ACTIVITY	GO:0016491 OXIDOREDUCTASE ACTIVITY		41	-0.39464316	-1.5318626	0.01058201	0.13308917	0.996	864	tags=34%, list=16%, signal=41%	
GO:0016323 BASOLATERAL PLASMA MEMBRANE	GO:0016323 BASOLATERAL PLASMA MEMBRANE		23	-0.459726	-1.5129259	0.030379746	0.14662628	0.998	188	tags=22%, list=4%, signal=22%	
GO:0006364 RRNA PROCESSING	GO:0006364 RRNA PROCESSING		17	-0.4837715	-1.4960735	0.06954437	0.15938759	0.999	1443	tags=59%, list=27%, signal=81%	
GO:0006413 TRANSLATIONAL INITIATION	GO:0006413 TRANSLATIONAL INITIATION		34	-0.3966856	-1.4846184	0.022857143	0.16607107	0.999	1516	tags=50%, list=29%, signal=70%	
GO:0051287 NAD BINDING	GO:0051287 NAD BINDING		18	-0.45585218	-1.4655322	0.06188119	0.18262231	0.999	447	tags=33%, list=8%, signal=36%	
GO:0005764 LYSOSOME	GO:0005764 LYSOSOME		45	-0.37064412	-1.4608194	0.02346041	0.18269904	0.999	1019	tags=42%, list=19%, signal=52%	
GO:0005975 CARBOHYDRATE METABOLIC PROCESS	GO:0005975 CARBOHYDRATE METABOLIC PROCESS		50	-0.35716492	-1.4492114	0.025316456	0.19062394	1.0	1004	tags=34%, list=19%, signal=42%	
GO:1902600 PROTON TRANSMEMBRANE TRANSPORT	GO:1902600 PROTON TRANSMEMBRANE TRANSPORT		32	-0.38716996	-1.4417065	0.062337663	0.19421203	1.0	263	tags=19%, list=5%, signal=20%	
GO:0030170 PYRIDOXAL PHOSPHATE BINDING	GO:0030170 PYRIDOXAL PHOSPHATE BINDING		26	-0.41444358	-1.4377401	0.06318682	0.19403937	1.0	895	tags=38%, list=17%, signal=46%	
GO:0032504 MULTICELLULAR ORGANISM REPRODUCTION	GO:0032504 MULTICELLULAR ORGANISM REPRODUCTION		40	-0.37443584	-1.4362464	0.043956045	0.19093487	1.0	660	tags=30%, list=12%, signal=34%	
GO:0016324 APICAL PLASMA MEMBRANE	GO:0016324 APICAL PLASMA MEMBRANE		51	-0.34595573	-1.4270353	0.022346368	0.19687411	1.0	1188	tags=39%, list=22%, signal=50%	
